"","isos_un"
"1","ITA"
"2","SWE"
"3","NLD"
"4","IRL"
"5","GBR"
"6","JOR"
"7","LBN"
"8","NOR"
"9","USA"
"10","CHN"
"11","CAN"
"12","BEL"
"13","FRA"
"14","FIN"
"15","AUS"
"16","NZL"
"17","CHL"
"18","ETH"
"19","IND"
"20","AUT"
"21","DEU"
"22","MEX"
"23","COL"
"24","BGR"
"25","HRV"
"26","CYP"
"27","CZE"
"28","DNK"
"29","EST"
"30","GRC"
"31","HUN"
"32","LVA"
"33","LTU"
"34","LUX"
"35","MLT"
"36","POL"
"37","PRT"
"38","ROU"
"39","SVK"
"40","SVN"
"41","ESP"
"42","QAT"
"43","BHR"
"44","NGA"
"45","ZMB"
"46","COD"
"47","BEN"
"48","BFA"
"49","CMR"
"50","CIV"
"51","GAB"
"52","GHA"
"53","TGO"
"54","SLE"
"55","BGD"
"56","RUS"
"57","PER"
"58","YEM"
"59","IRQ"
"60","HKG"
"61","UKR"
"62","JAM"
"63","PAK"
"64","IRN"
"65","ARG"
"66","BRA"
"67","KEN"
"68","SGP"
"69","ZAF"
"70","JPN"
"71","AFG"
"72","ALB"
"73","DZA"
"74","ASM"
"75","AND"
"76","AGO"
"77","AIA"
"78","ATA"
"79","ATG"
"80","ARM"
"81","ABW"
"82","AZE"
"83","BHS"
"84","BRB"
"85","BLR"
"86","BLZ"
"87","BMU"
"88","BTN"
"89","BOL"
"90","BES"
"91","BIH"
"92","BWA"
"93","BVT"
"94","IOT"
"95","BRN"
"96","BDI"
"97","CPV"
"98","KHM"
"99","CYM"
"100","CAF"
"101","TCD"
"102","CXR"
"103","CCK"
"104","COM"
"105","COG"
"106","COK"
"107","CRI"
"108","CUB"
"109","CUW"
"110","DJI"
"111","DMA"
"112","DOM"
"113","ECU"
"114","EGY"
"115","SLV"
"116","GNQ"
"117","ERI"
"118","SWZ"
"119","FLK"
"120","FRO"
"121","FJI"
"122","GUF"
"123","PYF"
"124","ATF"
"125","GMB"
"126","GEO"
"127","GIB"
"128","GRL"
"129","GRD"
"130","GLP"
"131","GUM"
"132","GTM"
"133","GGY"
"134","GIN"
"135","GNB"
"136","GUY"
"137","HTI"
"138","HMD"
"139","VAT"
"140","HND"
"141","ISL"
"142","IDN"
"143","IMN"
"144","ISR"
"145","JEY"
"146","KAZ"
"147","KIR"
"148","PRK"
"149","KOR"
"150","KWT"
"151","KGZ"
"152","LAO"
"153","LSO"
"154","LBR"
"155","LBY"
"156","LIE"
"157","MAC"
"158","MDG"
"159","MWI"
"160","MYS"
"161","MDV"
"162","MLI"
"163","MHL"
"164","MTQ"
"165","MRT"
"166","MUS"
"167","MYT"
"168","FSM"
"169","MDA"
"170","MCO"
"171","MNG"
"172","MNE"
"173","MSR"
"174","MAR"
"175","MOZ"
"176","MMR"
"177","NAM"
"178","NRU"
"179","NPL"
"180","NCL"
"181","NIC"
"182","NER"
"183","NIU"
"184","NFK"
"185","MNP"
"186","OMN"
"187","PLW"
"188","PSE"
"189","PAN"
"190","PNG"
"191","PRY"
"192","PHL"
"193","PCN"
"194","PRI"
"195","MKD"
"196","RWA"
"197","REU"
"198","BLM"
"199","SHN"
"200","KNA"
"201","LCA"
"202","MAF"
"203","SPM"
"204","VCT"
"205","WSM"
"206","SMR"
"207","STP"
"208","SAU"
"209","SEN"
"210","SRB"
"211","SYC"
"212","SXM"
"213","SLB"
"214","SOM"
"215","SGS"
"216","SSD"
"217","LKA"
"218","SDN"
"219","SUR"
"220","SJM"
"221","CHE"
"222","SYR"
"223","TWN"
"224","TJK"
"225","TZA"
"226","THA"
"227","TLS"
"228","TKL"
"229","TON"
"230","TTO"
"231","TUN"
"232","TUR"
"233","TKM"
"234","TCA"
"235","TUV"
"236","UGA"
"237","ARE"
"238","UMI"
"239","URY"
"240","UZB"
"241","VUT"
"242","VEN"
"243","VNM"
"244","VGB"
"245","VIR"
"246","WLF"
"247","ESH"
"248","ZWE"
"249","UAE"
"250","RDC"
"251","DRC"
"252","MDR"
